topic,length_chars,length_words,quality_score,sentiment,source_detail,plagiarism_score,notes,text_cleaned,text_cleaned_lower,ai_pattern_count,text_cleaned_lem,creation_year,creation_month,creation_dayofweek,label_encoded,avg_word_length,lexical_diversity,punctuation_density,exclamation_count,question_count,hedge_words_count,intensifier_count,first_person_count,sentence_count,type_token_ratio,avg_sentence_length,readability_score,grade_level,entity_density,person_entity_count,org_entity_count,location_entity_count,total_entities,passive_voice_ratio,unique_bigram_ratio,sentence_length_variability,contraction_density,leakage_flag
Entertainment,119,16.0,4.01,-0.06,Author_85,0.034,personal_tone,"After trying several approaches related to entertainment, I noticed costs can vary greatly depending on implementation.","after trying several approaches related to entertainment, i noticed costs can vary greatly depending on implementation.",0,"try approach relate entertainment , notice cost vary greatly depend implementation .",2024,4,0,0,6.5,1.0,0.0625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,5.532499999999999,16.462500000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Entertainment,219,30.5,3.21,0.88,Gpt-5-Base,0.074,no_tone,entertainment is associated with users report a mixed set of outcomes. adoption increases with better education there are tradeoffs to consider costs can vary greatly depending on implementation,entertainment is associated with users report a mixed set of outcomes. adoption increases with better education there are tradeoffs to consider costs can vary greatly depending on implementation,1,entertainment associate user report mixed set outcome . adoption increase well education tradeoff consider cost vary greatly depend implementation,2024,7,2,1,5.964285714285714,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9642857142857143,15.25,20.40357142857144,13.891428571428573,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,3.0,0.0,True
Lifestyle,78,14.0,3.82,-0.41,Author_49,0.108,no_tone,My personal opinion on lifestyle is that users report a mixed set of outcomes.,my personal opinion on lifestyle is that users report a mixed set of outcomes.,0,personal opinion lifestyle user report mixed set outcome .,2024,12,3,0,4.642857142857143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,59.68214285714288,8.412857142857145,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,False
Finance,118,16.0,2.14,0.28,Author_61,0.339,personal_tone,"After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive.","after trying several approaches related to finance, i noticed the community response has been overwhelmingly positive.",1,"try approach relate finance , notice community response overwhelmingly positive .",2024,10,5,0,6.4375,1.0,0.0625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,5.532499999999999,16.462500000000002,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,False
Finance,84,12.0,4.32,0.29,Gpt-5-Base,0.133,no_tone,finance and highlights that there are tradeoffs to consider.,finance and highlights that there are tradeoffs to consider.,1,finance highlight tradeoff consider .,2023,12,1,1,5.777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,66.10000000000002,6.2755555555555596,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,False
Education,76,12.0,3.96,-0.01,Author_37,0.113,no_tone,", education often leads to there are tradeoffs to consider.",", education often leads to there are tradeoffs to consider.",0,", education lead tradeoff consider .",2023,9,6,0,5.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.9,12.0,47.30000000000004,8.89777777777778,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
Sports,107,17.0,3.59,-0.47,Author_72,0.338,personal_tone,sports in my daytoday life and found that privacy concerns remain a top challenge.,sports in my daytoday life and found that privacy concerns remain a top challenge.,0,sport daytoday life find privacy concern remain challenge .,2023,7,6,0,4.928571428571429,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,65.72500000000001,7.570000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Technology,133,18.0,4.45,0.19,Gpt-5-Base,0.026,no_tone,technology shows privacy concerns remain a top challenge. will shape future developments.,technology shows privacy concerns remain a top challenge. will shape future developments.,1,technology show privacy concern remain challenge . shape future development .,2024,8,0,1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,31.545000000000016,10.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,True
Travel,75,13.0,2.8,-0.3,Gpt-4O-Mini,0.119,no_tone,travel shows users report a mixed set of outcomes.,travel shows users report a mixed set of outcomes.,1,travel show user report mixed set outcome .,2023,5,1,1,4.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,75.50000000000003,4.964444444444446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Health,84,13.0,2.81,-0.15,Gpt-5-Base,0.075,no_tone,health shows it requires more data for conclusive evidence.,health shows it requires more data for conclusive evidence.,1,health show require datum conclusive evidence .,2024,6,6,1,5.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,47.30000000000004,8.89777777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Technology,101,14.0,1.53,-0.22,Author_91,0.249,personal_tone,"technology, I believe the community response has been overwhelmingly positive.","technology, i believe the community response has been overwhelmingly positive.",1,"technology , believe community response overwhelmingly positive .",2025,4,4,0,6.9,1.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,16.63,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
Travel,142,18.0,4.63,-0.06,Gpt-4O-Mini,0.064,no_tone,travel and highlights that the community response has been overwhelmingly positive. Further investigation is warranted.,travel and highlights that the community response has been overwhelmingly positive. further investigation is warranted.,2,travel highlight community response overwhelmingly positive . investigation warrant .,2024,11,6,1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,7.462500000000006,14.081666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,3.5,0.0,False
Lifestyle,100,14.0,1.76,0.49,Author_59,0.226,personal_tone,"lifestyle, I believe the community response has been overwhelmingly positive.","lifestyle, i believe the community response has been overwhelmingly positive.",1,"lifestyle , believe community response overwhelmingly positive .",2025,7,1,0,6.8,1.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,10.564999999999998,14.270000000000007,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
Lifestyle,80,14.0,2.84,0.39,Author_74,0.059,no_tone,", lifestyle often leads to users report a mixed set of outcomes.",", lifestyle often leads to users report a mixed set of outcomes.",0,", lifestyle lead user report mixed set outcome .",2025,1,0,0,4.416666666666667,1.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,72.61545454545457,5.863636363636363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Food,125,16.0,4.59,0.26,Llama-3-Small,0.15,no_tone,food is associated with adoption increases with better education. Further investigation is warranted.,food is associated with adoption increases with better education. further investigation is warranted.,1,food associate adoption increase well education . investigation warrant .,2025,8,6,1,6.846153846153846,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8461538461538461,8.0,0.0,15.99115384615385,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,1.0,2.5,0.0,False
Food,201,30.5,3.84,0.01,Author_91,0.005,personal_tone,food in my daytoday life and found that the results are promising but preliminary. it can be optimized with simple heuristics costs can vary greatly depending on implementation,food in my daytoday life and found that the results are promising but preliminary. it can be optimized with simple heuristics costs can vary greatly depending on implementation,0,food daytoday life find result promise preliminary . optimize simple heuristic cost vary greatly depend implementation,2023,7,1,0,5.321428571428571,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9642857142857143,15.25,41.553571428571445,10.941428571428574,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,False
Food,91,14.0,4.16,-0.03,Llama-3-Small,0.092,no_tone,food is associated with it can be optimized with simple heuristics.,food is associated with it can be optimized with simple heuristics.,1,food associate optimize simple heuristic .,2025,2,2,1,5.181818181818182,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9090909090909091,14.0,41.8518181818182,10.154545454545456,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.0,0.0,False
Education,83,13.0,4.11,-0.37,Author_10,0.013,no_tone,", education often leads to privacy concerns remain a top challenge.",", education often leads to privacy concerns remain a top challenge.",0,", education lead privacy concern remain challenge .",2024,4,0,0,5.181818181818182,1.0,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,1.0,1.0,13.0,35.94500000000002,10.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Food,113,15.0,3.64,0.88,Bloomz-7B,0.105,no_tone,food shows adoption increases with better education. Further investigation is warranted.,food shows adoption increases with better education. further investigation is warranted.,1,food show adoption increase well education . investigation warrant .,2024,1,3,1,7.090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.5,1.2888636363636294,14.445909090909094,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,1.5,0.0,False
Sports,87,14.0,2.63,0.06,Claude-2,0.051,no_tone,sports and highlights that users report a mixed set of outcomes.,sports and highlights that users report a mixed set of outcomes.,1,sport highlight user report mixed set outcome .,2025,5,3,1,4.909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,80.30636363636367,4.790909090909089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Sports,93,14.0,3.85,0.38,Claude-2,0.027,no_tone,sports and highlights that it can be optimized with simple heuristics.,sports and highlights that it can be optimized with simple heuristics.,1,sport highlight optimize simple heuristic .,2023,12,5,1,5.454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,64.9245454545455,6.936363636363637,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,False
Entertainment,175,26.0,3.03,-0.57,Gpt-4O-Mini,0.018,no_tone,entertainment shows costs can vary greatly depending on implementation. Implementation details matter a lot here. users report a mixed set of outcomes,entertainment shows costs can vary greatly depending on implementation. implementation details matter a lot here. users report a mixed set of outcomes,1,entertainment show cost vary greatly depend implementation . implementation detail matter lot . user report mixed set outcome,2024,5,4,1,5.863636363636363,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9545454545454546,8.666666666666666,37.88257575757578,9.79727272727273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.247219128924647,0.0,True
Travel,71,12.0,4.66,-0.35,Author_90,0.107,no_tone,My personal opinion on travel is that there are tradeoffs to consider.,my personal opinion on travel is that there are tradeoffs to consider.,0,personal opinion travel tradeoff consider .,2024,2,5,0,4.916666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,53.655,8.756666666666668,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,False
Food,122,18.0,3.77,-0.32,Author_21,0.166,no_tone,", food often leads to there are tradeoffs to consider. will shape future developments.",", food often leads to there are tradeoffs to consider. will shape future developments.",0,", food lead tradeoff consider . shape future development .",2024,2,3,0,5.214285714285714,0.9285714285714286,0.07142857142857142,0.0,0.0,1.0,0.0,0.0,2.0,0.9285714285714286,9.0,63.57596153846157,6.006538461538462,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,3.0,0.0,False
Sports,93,14.0,2.84,-0.01,Gpt-5-Base,0.044,no_tone,sports and highlights that it can be optimized with simple heuristics.,sports and highlights that it can be optimized with simple heuristics.,1,sport highlight optimize simple heuristic .,2025,3,3,1,5.454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,64.9245454545455,6.936363636363637,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,False
Lifestyle,126,15.0,3.87,0.49,Llama-3-Small,0.017,no_tone,lifestyle and highlights that it improves efficiency significantly. Further investigation is warranted.,lifestyle and highlights that it improves efficiency significantly. further investigation is warranted.,1,lifestyle highlight improve efficiency significantly . investigation warrant .,2024,6,0,1,7.666666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.5,0.0,15.266666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,2.0,0.0,False
Lifestyle,168,26.0,4.56,0.34,Gpt-5-Base,0.015,no_tone,A concise overview of lifestyle privacy concerns remain a top challenge. This could change as new data becomes available. it requires more data for conclusive evidence,a concise overview of lifestyle privacy concerns remain a top challenge. this could change as new data becomes available. it requires more data for conclusive evidence,0,concise overview lifestyle privacy concern remain challenge . change new datum available . require datum conclusive evidence,2024,5,0,1,5.461538461538462,0.9615384615384616,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.9615384615384616,8.666666666666666,45.10756410256414,9.12076923076923,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,1.0,1.699673171197595,0.0,True
Health,92,13.0,4.59,-0.36,Gpt-4O-Mini,0.101,no_tone,health and highlights that the results are promising but preliminary.,health and highlights that the results are promising but preliminary.,1,health highlight result promise preliminary .,2023,12,5,1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,44.405,9.55,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
Finance,114,18.0,2.45,0.33,Author_7,0.007,personal_tone,finance in my daytoday life and found that it requires more data for conclusive evidence.,finance in my daytoday life and found that it requires more data for conclusive evidence.,0,finance daytoday life find require datum conclusive evidence .,2023,7,2,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,50.610000000000014,9.92666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Education,81,11.0,3.7,-0.54,Author_34,0.02,personal_tone,"education, I believe it improves efficiency significantly.","education, i believe it improves efficiency significantly.",0,"education , believe improve efficiency significantly .",2024,8,4,0,7.428571428571429,1.0,0.14285714285714285,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,0.0,19.16857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Entertainment,105,13.0,3.01,0.28,Author_23,0.273,personal_tone,"After trying several approaches related to entertainment, I noticed it improves efficiency significantly.","after trying several approaches related to entertainment, i noticed it improves efficiency significantly.",0,"try approach relate entertainment , notice improve efficiency significantly .",2025,8,0,0,7.153846153846154,1.0,0.07692307692307693,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0,18.52615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Entertainment,134,19.0,4.05,-0.47,Author_80,0.085,personal_tone,"entertainment, I believe it improves efficiency significantly. This could change as new data becomes available.","entertainment, i believe it improves efficiency significantly. this could change as new data becomes available.",0,"entertainment , believe improve efficiency significantly . change new datum available .",2025,1,0,0,6.466666666666667,1.0,0.06666666666666667,0.0,0.0,1.0,1.0,1.0,2.0,1.0,9.5,18.742500000000007,12.508333333333336,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.5,0.0,True
Health,128,22.0,4.0,0.18,Author_88,0.326,personal_tone,"health, I believe privacy concerns remain a top challenge. I would love to hear others thoughts on this.","health, i believe privacy concerns remain a top challenge. i would love to hear others thoughts on this.",0,"health , believe privacy concern remain challenge . love hear thought .",2023,1,3,0,4.833333333333333,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,2.0,2.0,0.9444444444444444,11.0,80.20000000000003,4.308888888888891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Health,268,30.5,1.87,-0.45,Author_72,0.261,no_tone,My personal opinion on health is that the results are promising but preliminary. will shape future developments. it can be optimized with simple heuristics costs can vary greatly depending on implementation it can be optimized with simple heuristics,my personal opinion on health is that the results are promising but preliminary. will shape future developments. it can be optimized with simple heuristics costs can vary greatly depending on implementation it can be optimized with simple heuristics,0,personal opinion health result promise preliminary . shape future development . optimize simple heuristic cost vary greatly depend implementation optimize simple heuristic,2023,8,2,0,5.578947368421052,0.7631578947368421,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.7631578947368421,10.166666666666666,35.909912280701775,11.397368421052636,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.8378378378378378,6.944222218666553,0.0,False
Health,93,12.0,4.17,0.03,Bloomz-7B,0.043,no_tone,Researchstyle summary on health suggests costs can vary greatly depending on implementation.,researchstyle summary on health suggests costs can vary greatly depending on implementation.,0,researchstyle summary health suggest cost vary greatly depend implementation .,2025,2,1,1,6.75,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,12.0,18.405,13.673333333333336,0.08333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False
Science,130,20.0,4.8,-0.4,Gpt-5-Base,0.146,no_tone,science shows the results are promising but preliminary. This could change as new data becomes available.,science shows the results are promising but preliminary. this could change as new data becomes available.,1,science show result promise preliminary . change new datum available .,2024,12,5,1,5.625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,10.0,45.377500000000026,8.917500000000004,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,True
Science,84,10.0,3.7,-0.1,Llama-3-Small,0.049,no_tone,Researchstyle summary on science suggests adoption increases with better education.,researchstyle summary on science suggests adoption increases with better education.,0,researchstyle summary science suggest adoption increase well education .,2023,10,2,1,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,16.63,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False
Food,123,16.0,2.69,-0.28,Gpt-5-Base,0.015,no_tone,Researchstyle summary on food suggests it improves efficiency significantly. it requires more data for conclusive evidence,researchstyle summary on food suggests it improves efficiency significantly. it requires more data for conclusive evidence,0,researchstyle summary food suggest improve efficiency significantly . require datum conclusive evidence,2024,6,5,1,6.6875,0.9375,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.9375,8.0,8.365000000000009,14.080000000000002,0.0625,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,False
Travel,141,23.0,2.26,-0.43,Author_22,0.114,personal_tone,My personal opinion on travel is that the community response has been overwhelmingly positive. I would love to hear others thoughts on this.,my personal opinion on travel is that the community response has been overwhelmingly positive. i would love to hear others thoughts on this.,1,personal opinion travel community response overwhelmingly positive . love hear thought .,2024,10,3,0,5.130434782608695,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9565217391304348,11.5,51.71032608695654,8.903695652173912,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,1.0,2.5,0.0,False
Food,125,21.0,4.33,0.67,Author_83,0.215,no_tone,My personal opinion on food is that privacy concerns remain a top challenge. This could change as new data becomes available.,my personal opinion on food is that privacy concerns remain a top challenge. this could change as new data becomes available.,0,personal opinion food privacy concern remain challenge . change new datum available .,2025,9,2,0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,10.5,55.17750000000001,8.171666666666667,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,1.0,2.5,0.0,True
Finance,97,14.0,3.37,0.06,Claude-2,0.032,no_tone,finance and highlights that it requires more data for conclusive evidence.,finance and highlights that it requires more data for conclusive evidence.,1,finance highlight require datum conclusive evidence .,2023,9,2,1,5.818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,41.8518181818182,10.154545454545456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Entertainment,98,14.0,3.92,-0.37,Author_54,0.037,no_tone,", entertainment often leads to costs can vary greatly depending on implementation.",", entertainment often leads to costs can vary greatly depending on implementation.",0,", entertainment lead cost vary greatly depend implementation .",2023,1,3,0,5.916666666666667,1.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,18.77909090909094,13.372727272727271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Science,84,13.0,4.74,0.43,Author_100,0.295,personal_tone,"science, I believe the results are promising but preliminary.","science, i believe the results are promising but preliminary.",0,"science , believe result promise preliminary .",2023,8,6,0,5.888888888888889,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,28.50000000000003,11.520000000000003,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,False
Science,102,14.0,4.57,-0.11,Bloomz-7B,0.082,no_tone,science is associated with costs can vary greatly depending on implementation.,science is associated with costs can vary greatly depending on implementation.,1,science associate cost vary greatly depend implementation .,2023,9,0,1,6.181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,11.088181818181852,14.445454545454545,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,False
Health,100,16.0,1.8,0.46,Author_21,0.214,personal_tone,health in my daytoday life and found that there are tradeoffs to consider.,health in my daytoday life and found that there are tradeoffs to consider.,0,health daytoday life find tradeoff consider .,2025,1,1,0,4.769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,76.50153846153849,5.818461538461541,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,False
Sports,219,30.0,1.75,-0.25,Author_26,0.206,personal_tone,"After trying several approaches related to sports, I noticed the community response has been overwhelmingly positive. it requires more data for conclusive evidence the community response has been overwhelmingly positive","after trying several approaches related to sports, i noticed the community response has been overwhelmingly positive. it requires more data for conclusive evidence the community response has been overwhelmingly positive",1,"try approach relate sport , notice community response overwhelmingly positive . require datum conclusive evidence community response overwhelmingly positive",2023,9,3,0,6.333333333333333,0.8,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,2.0,0.8,15.0,8.31000000000003,15.826666666666668,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8275862068965517,1.0,0.0,False
Lifestyle,100,14.0,3.77,0.53,Author_93,0.069,personal_tone,"lifestyle, I believe the community response has been overwhelmingly positive.","lifestyle, i believe the community response has been overwhelmingly positive.",1,"lifestyle , believe community response overwhelmingly positive .",2024,7,5,0,6.8,1.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,10.564999999999998,14.270000000000007,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
